season_year,match_no,match_date,team_a,team_b,stage
2024,1,2024-03-22,CSK,RCB,LEAGUE
2024,2,2024-03-23,PBKS,DC,LEAGUE
2024,3,2024-03-23,KKR,SRH,LEAGUE
2024,4,2024-03-24,RR,LSG,LEAGUE
2024,5,2024-03-24,GT,MI,LEAGUE
2024,6,2024-03-25,RCB,PBKS,LEAGUE
2024,7,2024-03-26,CSK,GT,LEAGUE
2024,8,2024-03-27,SRH,MI,LEAGUE
2024,9,2024-03-28,RR,DC,LEAGUE
2024,10,2024-03-29,RCB,KKR,LEAGUE
2024,11,2024-03-30,LSG,PBKS,LEAGUE
2024,12,2024-03-31,GT,SRH,LEAGUE
2024,13,2024-03-31,DC,CSK,LEAGUE
2024,14,2024-04-01,MI,RR,LEAGUE
2024,15,2024-04-02,RCB,LSG,LEAGUE
2024,16,2024-04-03,DC,KKR,LEAGUE
2024,17,2024-04-04,GT,PBKS,LEAGUE
2024,18,2024-04-05,SRH,CSK,LEAGUE
2024,19,2024-04-06,RR,RCB,LEAGUE
2024,20,2024-04-07,MI,DC,LEAGUE
2024,21,2024-04-07,LSG,GT,LEAGUE
2024,22,2024-04-08,CSK,KKR,LEAGUE
2024,23,2024-04-09,PBKS,SRH,LEAGUE
2024,24,2024-04-10,RR,GT,LEAGUE
2024,25,2024-04-11,MI,RCB,LEAGUE
2024,26,2024-04-12,LSG,DC,LEAGUE
2024,27,2024-04-13,PBKS,RR,LEAGUE
2024,28,2024-04-14,KKR,LSG,LEAGUE
2024,29,2024-04-14,MI,CSK,LEAGUE
2024,30,2024-04-15,RCB,SRH,LEAGUE
2024,31,2024-04-16,KKR,RR,LEAGUE
2024,32,2024-04-17,GT,DC,LEAGUE
2024,33,2024-04-18,PBKS,MI,LEAGUE
2024,34,2024-04-19,LSG,CSK,LEAGUE
2024,35,2024-04-20,DC,SRH,LEAGUE
2024,36,2024-04-21,KKR,RCB,LEAGUE
2024,37,2024-04-21,PBKS,GT,LEAGUE
2024,38,2024-04-22,RR,MI,LEAGUE
2024,39,2024-04-23,CSK,LSG,LEAGUE
2024,40,2024-04-24,DC,GT,LEAGUE
2024,41,2024-04-25,SRH,RCB,LEAGUE
2024,42,2024-04-26,KKR,PBKS,LEAGUE
2024,43,2024-04-27,DC,MI,LEAGUE
2024,44,2024-04-27,LSG,RR,LEAGUE
2024,45,2024-04-28,GT,RCB,LEAGUE
2024,46,2024-04-28,CSK,SRH,LEAGUE
2024,47,2024-04-29,KKR,DC,LEAGUE
2024,48,2024-04-30,LSG,MI,LEAGUE
2024,49,2024-05-01,CSK,PBKS,LEAGUE
2024,50,2024-05-02,SRH,RR,LEAGUE
2024,51,2024-05-03,MI,KKR,LEAGUE
2024,52,2024-05-04,RCB,GT,LEAGUE
2024,53,2024-05-05,PBKS,CSK,LEAGUE
2024,54,2024-05-05,LSG,KKR,LEAGUE
2024,55,2024-05-06,MI,SRH,LEAGUE
2024,56,2024-05-07,DC,RR,LEAGUE
2024,57,2024-05-08,SRH,LSG,LEAGUE
2024,58,2024-05-09,PBKS,RCB,LEAGUE
2024,59,2024-05-10,GT,CSK,LEAGUE
2024,60,2024-05-11,KKR,MI,LEAGUE
2024,61,2024-05-12,CSK,RR,LEAGUE
2024,62,2024-05-12,RCB,DC,LEAGUE
2024,63,2024-05-13,GT,KKR,LEAGUE
2024,64,2024-05-14,DC,LSG,LEAGUE
2024,65,2024-05-15,RR,PBKS,LEAGUE
2024,66,2024-05-16,SRH,GT,LEAGUE
2024,67,2024-05-17,MI,LSG,LEAGUE
2024,68,2024-05-18,RCB,CSK,LEAGUE
2024,69,2024-05-19,SRH,PBKS,LEAGUE
2024,70,2024-05-19,RR,KKR,LEAGUE
2024,71,2024-05-21,KKR,SRH,QUALIFIER 1
2024,72,2024-05-22,RR,RCB,ELIMINATOR
2024,73,2024-05-24,SRH,RR,QUALIFIER 2
2024,74,2024-05-26,KKR,SRH,FINAL
